CRESTA,Haz,Vuln,Overall
NO_25,-4.93E-02,-0.389863281,-0.419955527
NO_26,-6.85E-02,-0.33180985,-0.377569837
NO_27,-6.92E-02,-0.238424963,-0.291090471
NO_28,-4.46E-02,-0.24416262,-0.277840169
NO_29,-0.072677592,-0.348531694,-0.395878842
NO_30,-8.74E-02,-0.126964809,-0.203237403
NO_31,-7.96E-02,-0.162836028,-0.229455592
NO_32,-6.39E-02,-0.16526681,-0.218614463
NO_33,-8.27E-02,-0.162796168,-0.232051188
NO_34,-8.86E-02,-0.148631825,-0.224060357
NO_35,-6.92E-02,-0.285178347,-0.334669236
NO_36,-6.78E-02,-0.251576535,-0.302314716
NO_37,-6.50E-02,-0.183369801,-0.236469676
NO_38,-6.17E-02,-0.289133929,-0.332970653
NO_39,-6.86E-02,-0.143202184,-0.201997954
NO_40,-1.80E-02,-0.14919516,-0.16451576
NO_41,-3.22E-02,-0.320517041,-0.342405117
NO_42,-4.12E-02,-0.233827684,-0.265363189
NO_43,-2.14E-02,-0.247622015,-0.263699379
NO_44,-2.81E-02,-0.248165417,-0.269308265
NO_45,-3.65E-02,-0.241590133,-0.269266582
NO_46,-2.83E-02,-0.128934786,-0.153607564
NO_47,-3.73E-02,-0.233826369,-0.262388359
NO_48,-4.29E-02,-0.17991846,-0.21509973
NO_49,-6.93E-02,-0.200333863,-0.255755579
NO_50,-6.27E-02,1.83E-02,-4.55E-02
NO_51,-5.36E-02,-6.95E-02,-0.11938829
NO_52,-4.91E-02,-0.180625222,-0.220893583
NO_53,-4.94E-02,-0.210598996,-0.249596198
NO_54,-5.12E-02,-0.277708895,-0.314673638
NO_55,-4.15E-02,-0.278823522,-0.308729131
NO_56,-5.02E-02,-0.31300907,-0.347504349
NO_57,-4.20E-02,-0.288016722,-0.317949121
NO_59,-6.07E-02,-0.317862653,-0.359249407
NO_60,-5.62E-02,-0.258900267,-0.300570559
NO_61,-6.69E-02,-0.362424897,-0.405064597
NO_62,-4.85E-02,-0.340631116,-0.372603549
NO_63,-4.11E-02,-0.329158669,-0.356699211
NO_64,-4.07E-02,-0.311493646,-0.339501842
NO_65,-4.02E-02,-0.298373571,-0.326566967
NO_66,-0.036169985,-0.336245788,-0.360253768
NO_67,-5.88E-02,-0.351047472,-0.389193536
NO_68,-3.68E-02,-0.364496188,-0.387890828
NO_69,-5.20E-02,-0.356919362,-0.390374352
NO_70,-3.87E-02,-9.84E-02,-0.133334876
NO_71,-4.27E-02,-0.331774902,-0.36029578
NO_72,-4.35E-02,-0.274553989,-0.306116766
NO_73,-4.27E-02,-0.296950706,-0.326954616
NO_75,-5.54E-02,-0.2887193,-0.328095914
NO_76,-4.79E-02,-0.350353445,-0.381466311
NO_77,-0.058358144,-0.337509309,-0.376171036
NO_78,-8.59E-02,-0.332941664,-0.390210165
NO_79,-0.078860831,-0.39031941,-0.438399328
NO_80,-0.156832672,-0.271905814,-0.386094771
NO_81,-0.10391841,-0.305238273,-0.377436807
NO_82,-0.100907208,-0.330915379,-0.398430841
NO_83,-0.118229869,-0.304737199,-0.386938028
NO_84,-0.149539209,-0.300113032,-0.404773576
NO_85,-0.112894461,-0.240666484,-0.326391032
NO_86,-7.61E-02,-0.256936707,-0.3135052
NO_87,-9.72E-02,-0.327645728,-0.392996842
NO_88,-0.100858112,-0.342179215,-0.408525778
NO_89,-6.82E-02,-0.344697314,-0.389382004
NO_90,-0.100562062,-0.217776655,-0.296438647
NO_91,-0.11051326,-0.312123698,-0.38814315
NO_93,-6.55E-02,-0.286691395,-0.333381369
NO_94,-0.13917335,-0.250245307,-0.354591179
NO_95,-0.118571164,-0.305104125,-0.387498738
NO_96,-0.130001589,-0.227616353,-0.328027455
NO_97,-0.111784827,-0.317274506,-0.393592857
NO_98,-7.77E-02,-0.333043989,-0.384849865
NO_99,-0.109772182,-0.222935823,-0.308235854
PL_DS,-2.33E-02,-0.256937776,-0.274281505
PL_KP,2.95E-02,-0.263843315,-0.24211983
PL_LB,-8.01E-03,-0.253128482,-0.259113783
PL_LD,2.32E-02,-0.260747695,-0.243632589
PL_LU,8.64E-02,-0.253134296,-0.188609142
PL_MA,1.75E-03,-0.275638115,-0.274370437
PL_MP,-1.55E-02,-0.258937947,-0.270438398
PL_OP,2.39E-02,-0.258421596,-0.240671372
PL_PD,0.147090398,-0.258278686,-0.149178603
PL_PK,0.028427411,-0.258696748,-0.237623416
PL_PM,1.42E-02,-0.253322128,-0.242745664
PL_SL,-1.57E-02,-0.268129512,-0.279643095
PL_SW,6.69E-02,-0.263610644,-0.214356993
PL_WM,7.65E-02,-0.25408183,-0.197028117
PL_WP,1.82E-02,-0.262386998,-0.248973747
PL_ZP,-2.76E-02,-0.254667298,-0.275258344
SE_0114,-5.19E-02,1.93E-02,-3.36E-02
SE_0115,-0.117520397,-3.67E-03,-0.120756622
SE_0117,-0.158323054,-0.023501931,-0.178104087
SE_0120,-0.123622913,-4.71E-02,-0.164941677
SE_0123,-3.88E-02,2.42E-02,-1.55E-02
SE_0125,-7.17E-02,-6.02E-03,-7.73E-02
SE_0126,-6.80E-02,1.12E-02,-5.76E-02
SE_0127,-7.25E-02,8.29E-03,-6.48E-02
SE_0128,-4.09E-02,1.92E-02,-2.25E-02
SE_0136,-0.123760312,-6.19E-03,-0.129186954
SE_0138,-0.074774312,5.21E-03,-7.00E-02
SE_0139,-5.09E-02,-3.44E-03,-5.42E-02
SE_0140,-2.28E-02,-6.91E-03,-2.96E-02
SE_0160,-7.07E-02,2.77E-02,-4.49E-02
SE_0162,-6.68E-02,2.12E-02,-4.70E-02
SE_0163,-0.050587937,2.43E-02,-2.75E-02
SE_0180,-9.30E-02,1.62E-02,-7.83E-02
SE_0181,-0.053588439,6.65E-04,-5.30E-02
SE_0182,-8.17E-02,5.24E-03,-0.076915018
SE_0183,-5.05E-02,2.36E-02,-2.80E-02
SE_0184,-0.059314484,2.32E-02,-3.75E-02
SE_0186,-7.81E-02,1.87E-02,-6.09E-02
SE_0187,-8.82E-02,-4.01E-02,-0.124701291
SE_0188,-0.188220885,-2.77E-02,-0.210723652
SE_0191,-7.77E-02,8.18E-03,-7.02E-02
SE_0192,-0.130978536,-9.61E-03,-0.139331584
SE_0305,-5.13E-02,-7.71E-03,-0.058637729
SE_0319,-8.51E-02,-5.03E-03,-8.97E-02
SE_0330,-7.01E-02,-5.78E-03,-7.55E-02
SE_0360,-0.129802226,-1.74E-02,-0.144963333
SE_0380,-7.49E-02,-1.29E-06,-7.49E-02
SE_0381,-7.39E-02,-6.95E-03,-8.03E-02
SE_0382,-0.171193851,-0.016376471,-0.184766771
SE_0428,-6.06E-02,-9.36E-03,-6.94E-02
SE_0461,-0.03897737,-1.21E-02,-5.06E-02
SE_0480,-0.094453161,-2.17E-03,-9.64E-02
SE_0481,-6.44E-02,-1.67E-03,-6.60E-02
SE_0482,-5.21E-02,-1.08E-02,-6.23E-02
SE_0483,-5.07E-02,-2.27E-03,-5.29E-02
